,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,EVENT
0,,Rory McIlroy,4,318.5,2548,8,The Masters
1,,Cameron Champ,4,316.0,2528,8,The Masters
2,,Tommy Fleetwood,4,309.6,2477,8,The Masters
3,,Will Zalatoris,4,307.4,2459,8,The Masters
4,,Joaquin Niemann,4,307.1,2457,8,The Masters
5,,Sergio Garcia,4,305.1,2441,8,The Masters
6,,Marc Leishman,4,304.4,2435,8,The Masters
7,,Justin Thomas,4,303.4,2427,8,The Masters
8,,Matt Fitzpatrick,4,303.0,2424,8,The Masters
9,,Min Woo Lee,4,302.4,2419,8,The Masters
10,,Adam Scott,4,302.0,2416,8,The Masters
11,,Tyrrell Hatton,4,301.9,2415,8,The Masters
12,,Jon Rahm,4,300.1,2401,8,The Masters
13,,Hideki Matsuyama,4,299.5,2396,8,The Masters
14,,Jason Kokrak,4,299.3,2394,8,The Masters
15,,Scottie Scheffler,4,298.9,2391,8,The Masters
16,38.0,Tony Finau,4,298.8,2390,8,The Masters
17,,Harold Varner III,4,296.3,2370,8,The Masters
18,,Viktor Hovland,4,295.5,2364,8,The Masters
19,,Bubba Watson,4,294.4,2355,8,The Masters
20,,Cameron Smith,4,294.3,2354,8,The Masters
21,20.0,Robert MacIntyre,4,293.9,2351,8,The Masters
22,,Sepp Straka,4,292.6,2341,8,The Masters
23,,Cam Davis,4,292.1,2337,8,The Masters
24,34.0,Corey Conners,4,291.8,2334,8,The Masters
25,11.0,Hudson Swafford,4,291.8,2334,8,The Masters
26,,Dustin Johnson,4,291.3,2330,8,The Masters
27,,Shane Lowry,4,291.1,2329,8,The Masters
28,,Sungjae Im,4,289.5,2316,8,The Masters
29,,Seamus Power,4,289.1,2313,8,The Masters
30,,Patrick Cantlay,4,289.0,2312,8,The Masters
31,,Tom Hoge,4,288.8,2310,8,The Masters
32,,Danny Willett,4,288.5,2308,8,The Masters
33,,Talor Gooch,4,288.3,2306,8,The Masters
34,,Russell Henley,4,288.3,2306,8,The Masters
35,,Collin Morikawa,4,287.3,2298,8,The Masters
36,46.0,J.J. Spaun,4,287.1,2297,8,The Masters
37,8.0,Si Woo Kim,4,286.3,2290,8,The Masters
38,,Max Homa,4,285.8,2286,8,The Masters
39,,Mackenzie Hughes,4,285.8,2286,8,The Masters
40,,Tiger Woods,4,285.0,2280,8,The Masters
41,50.0,Lucas Glover,4,284.6,2277,8,The Masters
42,,Patrick Reed,4,283.5,2268,8,The Masters
43,,Daniel Berger,4,282.0,2256,8,The Masters
44,,Lee Westwood,4,281.8,2254,8,The Masters
45,,Harry Higgs,4,280.9,2247,8,The Masters
46,,Billy Horschel,4,280.4,2243,8,The Masters
47,,Charl Schwartzel,4,279.4,2235,8,The Masters
48,,Webb Simpson,4,279.0,2232,8,The Masters
49,,Kevin Kisner,4,277.6,2221,8,The Masters
50,,Christiaan Bezuidenhout,4,276.3,2210,8,The Masters
51,,Kevin Na,4,272.3,2178,8,The Masters
0,,Brooks Koepka,4,320.9,2567,8,U.S. Open
1,,Bryson DeChambeau,4,320.0,2560,8,U.S. Open
2,,Chris Gotterup,4,319.9,2559,8,U.S. Open
3,,Travis Vick,4,319.5,2556,8,U.S. Open
4,,Patrick Cantlay,4,318.9,2551,8,U.S. Open
5,,Dustin Johnson,4,318.8,2550,8,U.S. Open
6,,Grayson Murray,4,316.8,2534,8,U.S. Open
7,,Thomas Pieters,4,314.5,2516,8,U.S. Open
8,,Tyrrell Hatton,4,314.1,2513,8,U.S. Open
9,15,Scottie Scheffler,4,313.3,2506,8,U.S. Open
10,,Joaquin Niemann,4,313.1,2505,8,U.S. Open
11,24,Patrick Rodgers,4,311.1,2489,8,U.S. Open
12,13,Matt Fitzpatrick,4,310.5,2484,8,U.S. Open
13,,MJ Daffue,4,309.8,2478,8,U.S. Open
14,,Keegan Bradley,4,309.6,2477,8,U.S. Open
15,,Jon Rahm,4,309.6,2477,8,U.S. Open
16,,Hayden Buckley,4,309.1,2473,8,U.S. Open
17,,Beau Hossler,4,309.1,2473,8,U.S. Open
18,,Jordan Spieth,4,309.1,2473,8,U.S. Open
19,,Gary Woodland,4,309.0,2472,8,U.S. Open
20,,Callum Tarren,4,307.1,2457,8,U.S. Open
21,,Matthew NeSmith,4,307.0,2456,8,U.S. Open
22,,Collin Morikawa,4,306.8,2454,8,U.S. Open
23,,Seamus Power,4,306.6,2453,8,U.S. Open
24,,Brandon Matthews,4,306.3,2450,8,U.S. Open
25,,Sam Stevens,4,306.3,2450,8,U.S. Open
26,,Will Zalatoris,4,306.3,2450,8,U.S. Open
27,,Min Woo Lee,4,306.1,2449,8,U.S. Open
28,,Adam Schenk,4,305.8,2446,8,U.S. Open
29,,K.H. Lee,4,305.3,2442,8,U.S. Open
30,,Chris Naegel,4,304.9,2439,8,U.S. Open
31,,Adam Scott,4,304.5,2436,8,U.S. Open
32,5,Justin Thomas,4,304.4,2435,8,U.S. Open
33,,Aaron Wise,4,304.3,2434,8,U.S. Open
34,,Wil Besseling,4,303.1,2425,8,U.S. Open
35,,Marc Leishman,4,302.9,2423,8,U.S. Open
36,,Davis Riley,4,302.8,2422,8,U.S. Open
37,,Austin Greaser,4,302.5,2420,8,U.S. Open
38,,Joseph Bramlett,4,302.0,2416,8,U.S. Open
39,,Sam Bennett,4,301.8,2414,8,U.S. Open
40,,Stewart Hagestad,4,301.8,2414,8,U.S. Open
41,1,Rory McIlroy,4,300.9,2407,8,U.S. Open
42,,Todd Sinnott,4,300.1,2401,8,U.S. Open
43,,Harris English,4,299.9,2399,8,U.S. Open
44,,Richard Bland,4,299.1,2393,8,U.S. Open
45,,Xander Schauffele,4,299.0,2392,8,U.S. Open
46,,Guido Migliozzi,4,298.0,2384,8,U.S. Open
47,,Denny McCarthy,4,297.4,2379,8,U.S. Open
48,,Cameron Tringale,4,297.4,2379,8,U.S. Open
49,,Patrick Reed,4,297.3,2378,8,U.S. Open
50,20,Adam Hadwin,4,297.0,2376,8,U.S. Open
51,,Hideki Matsuyama,4,295.9,2367,8,U.S. Open
52,,Joel Dahmen,4,295.8,2366,8,U.S. Open
53,38,Mackenzie Hughes,4,295.5,2364,8,U.S. Open
54,T33,Sam Burns,4,295.4,2363,8,U.S. Open
55,17,Justin Rose,4,295.3,2362,8,U.S. Open
56,22,Sebastián Muñoz,4,293.5,2348,8,U.S. Open
57,3,Nick Hardy,4,293.3,2346,8,U.S. Open
58,,Joohyung Kim,4,292.3,2338,8,U.S. Open
59,,Brian Harman,4,292.1,2337,8,U.S. Open
60,,Max Homa,4,291.9,2335,8,U.S. Open
61,,Andrew Putnam,4,291.1,2329,8,U.S. Open
62,,David Lingmerth,4,289.1,2313,8,U.S. Open
63,,Sebastian Soderberg,4,287.4,2299,8,U.S. Open
0,,Jon Rahm,4,315.5,2524,8,The Memorial Tournament
1,,Cameron Young,4,315.5,2524,8,The Memorial Tournament
2,,Rory McIlroy,4,314.9,2519,8,The Memorial Tournament
3,,Wyndham Clark,4,314.5,2516,8,The Memorial Tournament
4,,Luke List,4,311.5,2492,8,The Memorial Tournament
5,,Garrick Higgo,4,308.8,2470,8,The Memorial Tournament
6,,Patrick Cantlay,4,308.1,2465,8,The Memorial Tournament
7,17,Viktor Hovland,4,307.0,2456,8,The Memorial Tournament
8,,Chan Kim,4,306.8,2454,8,The Memorial Tournament
9,,Will Zalatoris,4,305.8,2446,8,The Memorial Tournament
10,33,Lucas Herbert,4,305.1,2441,8,The Memorial Tournament
11,,Jhonattan Vegas,4,304.1,2433,8,The Memorial Tournament
12,12,Beau Hossler,4,303.9,2431,8,The Memorial Tournament
13,,Keith Mitchell,4,303.5,2428,8,The Memorial Tournament
14,,Brendan Steele,4,303.4,2427,8,The Memorial Tournament
15,13,Cam Davis,4,303.1,2425,8,The Memorial Tournament
16,7,Sahith Theegala,4,303.1,2425,8,The Memorial Tournament
17,,Joaquin Niemann,4,302.1,2417,8,The Memorial Tournament
18,27,Jordan Spieth,4,302.0,2416,8,The Memorial Tournament
19,,Keegan Bradley,4,301.6,2413,8,The Memorial Tournament
20,,Adam Scott,4,301.5,2412,8,The Memorial Tournament
21,5,Max Homa,4,300.9,2407,8,The Memorial Tournament
22,,Xander Schauffele,4,299.4,2395,8,The Memorial Tournament
23,,Sepp Straka,4,298.3,2386,8,The Memorial Tournament
24,,Lanto Griffin,4,298.1,2385,8,The Memorial Tournament
25,,Aaron Wise,4,298.0,2384,8,The Memorial Tournament
26,26,Davis Riley,4,297.9,2383,8,The Memorial Tournament
27,,Shane Lowry,4,297.5,2380,8,The Memorial Tournament
28,,Cameron Tringale,4,297.0,2376,8,The Memorial Tournament
29,,Cameron Smith,4,296.8,2374,8,The Memorial Tournament
30,30,Emiliano Grillo,4,296.1,2369,8,The Memorial Tournament
31,,K.H. Lee,4,296.1,2369,8,The Memorial Tournament
32,T20,Mito Pereira,4,296.0,2368,8,The Memorial Tournament
33,,Francesco Molinari,4,295.3,2362,8,The Memorial Tournament
34,53,Rickie Fowler,4,294.5,2356,8,The Memorial Tournament
35,,Abraham Ancer,4,294.0,2352,8,The Memorial Tournament
36,,Jason Day,4,293.8,2350,8,The Memorial Tournament
37,T28,Sungjae Im,4,293.1,2345,8,The Memorial Tournament
38,,Adam Schenk,4,293.0,2344,8,The Memorial Tournament
39,,Charles Howell III,4,291.6,2333,8,The Memorial Tournament
40,,J.T. Poston,4,291.6,2333,8,The Memorial Tournament
41,,Mackenzie Hughes,4,291.3,2330,8,The Memorial Tournament
42,,Carlos Ortiz,4,291.0,2328,8,The Memorial Tournament
43,54,Denny McCarthy,4,289.9,2319,8,The Memorial Tournament
44,,Si Woo Kim,4,289.3,2314,8,The Memorial Tournament
45,T23,Matthew NeSmith,4,289.1,2313,8,The Memorial Tournament
46,,Corey Conners,4,288.6,2309,8,The Memorial Tournament
47,32,Chris Kirk,4,288.4,2307,8,The Memorial Tournament
48,,Martin Laird,4,288.1,2305,8,The Memorial Tournament
49,,Brandon Wu,4,288.1,2305,8,The Memorial Tournament
50,T34,Aaron Rai,4,287.5,2300,8,The Memorial Tournament
51,,Adam Hadwin,4,287.0,2296,8,The Memorial Tournament
52,43,Patrick Reed,4,286.9,2295,8,The Memorial Tournament
53,T23,Lucas Glover,4,286.8,2294,8,The Memorial Tournament
54,31,Daniel Berger,4,286.5,2292,8,The Memorial Tournament
55,42,C.T. Pan,4,286.3,2290,8,The Memorial Tournament
56,,Camilo Villegas,4,286.1,2289,8,The Memorial Tournament
57,,Doug Ghim,4,286.0,2288,8,The Memorial Tournament
58,,Billy Horschel,4,285.0,2280,8,The Memorial Tournament
59,T44,David Lipsky,4,284.9,2279,8,The Memorial Tournament
60,58,Troy Merritt,4,284.3,2274,8,The Memorial Tournament
61,,Brian Harman,4,283.6,2269,8,The Memorial Tournament
62,,Matt Kuchar,4,282.8,2262,8,The Memorial Tournament
63,39,Adam Svensson,4,281.1,2249,8,The Memorial Tournament
64,,Kramer Hickok,4,279.5,2236,8,The Memorial Tournament
65,66,Pat Perez,4,278.8,2230,8,The Memorial Tournament
66,62,Joel Dahmen,4,277.8,2222,8,The Memorial Tournament
67,67,Brandt Snedeker,4,274.6,2197,8,The Memorial Tournament
68,,David Lingmerth,4,266.8,2134,8,The Memorial Tournament
69,,Ryan Moore,4,262.8,2102,8,The Memorial Tournament
0,3,Rory McIlroy,4,316.8,2534,8,RBC Canadian Open
1,14,Keith Mitchell,4,316.4,2531,8,RBC Canadian Open
2,,Nick Hardy,4,316.3,2530,8,RBC Canadian Open
3,4,Wyndham Clark,4,314.9,2519,8,RBC Canadian Open
4,,Justin Thomas,4,313.3,2506,8,RBC Canadian Open
5,,Trey Mullinax,4,312.9,2503,8,RBC Canadian Open
6,,Alex Smalley,4,312.8,2502,8,RBC Canadian Open
7,,Dawie van der Walt,4,312.4,2499,8,RBC Canadian Open
8,,Tony Finau,4,312.0,2496,8,RBC Canadian Open
9,T31,Emiliano Grillo,4,311.6,2493,8,RBC Canadian Open
10,,Charley Hoffman,4,311.5,2492,8,RBC Canadian Open
11,,Paul Barjon,4,311.1,2489,8,RBC Canadian Open
12,,Matt Fitzpatrick,4,310.3,2482,8,RBC Canadian Open
13,,Brandon Hagy,4,309.4,2475,8,RBC Canadian Open
14,,Scottie Scheffler,4,308.6,2469,8,RBC Canadian Open
15,12,Jhonattan Vegas,4,308.3,2466,8,RBC Canadian Open
16,,Justin Rose,4,307.9,2463,8,RBC Canadian Open
17,48,Chris Kirk,4,307.3,2458,8,RBC Canadian Open
18,,Austin Smotherman,4,306.8,2454,8,RBC Canadian Open
19,52,Adam Hadwin,4,306.6,2453,8,RBC Canadian Open
20,,Vince Whaley,4,306.1,2449,8,RBC Canadian Open
21,,Sebastián Muñoz,4,306.0,2448,8,RBC Canadian Open
22,51,Aaron Rai,4,305.9,2447,8,RBC Canadian Open
23,,Patrick Rodgers,4,304.8,2438,8,RBC Canadian Open
24,,Andrew Novak,4,304.5,2436,8,RBC Canadian Open
25,T16,Sahith Theegala,4,303.5,2428,8,RBC Canadian Open
26,,Brett Drewitt,4,303.0,2424,8,RBC Canadian Open
27,,Harold Varner III,4,302.5,2420,8,RBC Canadian Open
28,,Matt Wallace,4,302.5,2420,8,RBC Canadian Open
29,,Danny Lee,4,302.4,2419,8,RBC Canadian Open
30,,Robert Streb,4,301.9,2415,8,RBC Canadian Open
31,43,Carlos Ortiz,4,301.8,2414,8,RBC Canadian Open
32,,Sam Burns,4,300.9,2407,8,RBC Canadian Open
33,65,Kramer Hickok,4,300.9,2407,8,RBC Canadian Open
34,28,Shane Lowry,4,300.9,2407,8,RBC Canadian Open
35,,Jim Knous,4,300.8,2406,8,RBC Canadian Open
36,,Aaron Cockerill,4,300.6,2405,8,RBC Canadian Open
37,42,Mackenzie Hughes,4,300.4,2403,8,RBC Canadian Open
38,,Dylan Frittelli,4,299.5,2396,8,RBC Canadian Open
39,,Jonas Blixt,4,298.8,2390,8,RBC Canadian Open
40,47,Corey Conners,4,297.8,2382,8,RBC Canadian Open
41,,Kelly Kraft,4,297.8,2382,8,RBC Canadian Open
42,,David Skinns,4,297.8,2382,8,RBC Canadian Open
43,,Danny Willett,4,297.5,2380,8,RBC Canadian Open
44,,Chase Seiffert,4,297.4,2379,8,RBC Canadian Open
45,30,Cameron Smith,4,297.3,2378,8,RBC Canadian Open
46,,Ben Martin,4,296.9,2375,8,RBC Canadian Open
47,,Lee Hodges,4,296.8,2374,8,RBC Canadian Open
48,,Sean O'Hair,4,295.6,2365,8,RBC Canadian Open
49,58,Doug Ghim,4,294.4,2355,8,RBC Canadian Open
50,,Hank Lebioda,4,294.3,2354,8,RBC Canadian Open
51,,Scott Piercy,4,294.1,2353,8,RBC Canadian Open
52,64,Adam Svensson,4,294.1,2353,8,RBC Canadian Open
53,,Seung-Yul Noh,4,293.1,2345,8,RBC Canadian Open
54,,Nick Taylor,4,292.8,2342,8,RBC Canadian Open
55,,John Huh,4,291.8,2334,8,RBC Canadian Open
56,,Mark Hubbard,4,291.4,2331,8,RBC Canadian Open
57,,Austin Cook,4,291.3,2330,8,RBC Canadian Open
58,,Cameron Percy,4,291.0,2328,8,RBC Canadian Open
59,,Rafa Cabrera Bello,4,289.4,2315,8,RBC Canadian Open
60,68,Brandt Snedeker,4,286.6,2293,8,RBC Canadian Open
61,,Justin Lower,4,285.8,2286,8,RBC Canadian Open
62,70,Ryan Moore,4,285.8,2286,8,RBC Canadian Open
