,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,EVENT
0,,Kevin Na,4,70.83,51,72,-0.22,The Masters
1,,Cameron Champ,4,69.44,50,72,-0.16,The Masters
2,,Sergio Garcia,4,69.44,50,72,-0.20,The Masters
3,,Rory McIlroy,4,69.44,50,72,-0.26,The Masters
4,,Marc Leishman,4,68.06,49,72,E,The Masters
5,,Scottie Scheffler,4,68.06,49,72,-0.33,The Masters
6,,Tommy Fleetwood,4,66.67,48,72,-0.21,The Masters
7,,Charl Schwartzel,4,66.67,48,72,-0.21,The Masters
8,T16,Corey Conners,4,65.28,47,72,-0.23,The Masters
9,,Russell Henley,4,65.28,47,72,-0.26,The Masters
10,,Harry Higgs,4,65.28,47,72,-0.23,The Masters
11,,Billy Horschel,4,65.28,47,72,-0.23,The Masters
12,,Collin Morikawa,4,65.28,47,72,-0.28,The Masters
13,,Cameron Smith,4,65.28,47,72,-0.43,The Masters
14,,Matt Fitzpatrick,4,63.89,46,72,-0.20,The Masters
15,T56,Lucas Glover,4,63.89,46,72,-0.22,The Masters
16,,Dustin Johnson,4,63.89,46,72,-0.24,The Masters
17,,Shane Lowry,4,63.89,46,72,-0.30,The Masters
18,T16,J.J. Spaun,4,63.89,46,72,-0.17,The Masters
19,T9,Hudson Swafford,4,63.89,46,72,-0.22,The Masters
20,,Patrick Cantlay,4,62.5,45,72,-0.04,The Masters
21,T4,Tony Finau,4,62.5,45,72,-0.24,The Masters
22,,Bubba Watson,4,62.5,45,72,-0.29,The Masters
23,,Sungjae Im,4,61.11,44,72,-0.30,The Masters
24,,Talor Gooch,4,59.72,43,72,-0.21,The Masters
25,,Sepp Straka,4,59.72,43,72,-0.23,The Masters
26,,Tyrrell Hatton,4,58.33,42,72,-0.14,The Masters
27,,Jason Kokrak,4,58.33,42,72,-0.24,The Masters
28,,Lee Westwood,4,58.33,42,72,-0.29,The Masters
29,,Christiaan Bezuidenhout,4,56.94,41,72,-0.12,The Masters
30,,Cam Davis,4,56.94,41,72,-0.12,The Masters
31,,Tom Hoge,4,56.94,41,72,-0.20,The Masters
32,,Min Woo Lee,4,56.94,41,72,-0.37,The Masters
33,,Jon Rahm,4,56.94,41,72,-0.29,The Masters
34,,Patrick Reed,4,56.94,41,72,-0.22,The Masters
35,,Adam Scott,4,56.94,41,72,-0.12,The Masters
36,,Harold Varner III,4,56.94,41,72,-0.34,The Masters
37,,Will Zalatoris,4,56.94,41,72,-0.41,The Masters
38,,Kevin Kisner,4,55.56,40,72,-0.35,The Masters
39,,Hideki Matsuyama,4,55.56,40,72,-0.25,The Masters
40,,Joaquin Niemann,4,55.56,40,72,-0.25,The Masters
41,,Seamus Power,4,55.56,40,72,-0.18,The Masters
42,,Justin Thomas,4,55.56,40,72,-0.35,The Masters
43,,Danny Willett,4,55.56,40,72,-0.23,The Masters
44,,Max Homa,4,54.17,39,72,-0.21,The Masters
45,,Viktor Hovland,4,54.17,39,72,-0.38,The Masters
46,,Tiger Woods,4,54.17,39,72,-0.15,The Masters
47,,Daniel Berger,4,51.39,37,72,-0.27,The Masters
48,,Webb Simpson,4,51.39,37,72,-0.24,The Masters
49,,Mackenzie Hughes,4,50.0,36,72,-0.19,The Masters
50,T34,Si Woo Kim,4,50.0,36,72,-0.28,The Masters
51,T34,Robert MacIntyre,4,50.0,36,72,-0.33,The Masters
0,,Joel Dahmen,4,72.22,52,72,-0.15,U.S. Open
1,T16,Matt Fitzpatrick,4,72.22,52,72,-0.25,U.S. Open
2,,Hayden Buckley,4,70.83,51,72,-0.22,U.S. Open
3,,Hideki Matsuyama,4,69.44,50,72,-0.2,U.S. Open
4,,Keegan Bradley,4,68.06,49,72,-0.29,U.S. Open
5,,Denny McCarthy,4,68.06,49,72,-0.24,U.S. Open
6,,Joseph Bramlett,4,66.67,48,72,-0.08,U.S. Open
7,T16,Rory McIlroy,4,66.67,48,72,-0.29,U.S. Open
8,,Collin Morikawa,4,66.67,48,72,-0.27,U.S. Open
9,,Gary Woodland,4,66.67,48,72,-0.23,U.S. Open
10,T9,Nick Hardy,4,65.28,47,72,-0.26,U.S. Open
11,,Max Homa,4,65.28,47,72,-0.09,U.S. Open
12,,Seamus Power,4,65.28,47,72,-0.21,U.S. Open
13,T16,Scottie Scheffler,4,65.28,47,72,-0.32,U.S. Open
14,,Will Zalatoris,4,65.28,47,72,-0.36,U.S. Open
15,,K.H. Lee,4,63.89,46,72,-0.15,U.S. Open
16,,Matthew NeSmith,4,63.89,46,72,-0.17,U.S. Open
17,,Jon Rahm,4,63.89,46,72,-0.26,U.S. Open
18,,Callum Tarren,4,63.89,46,72,-0.2,U.S. Open
19,T4,Justin Thomas,4,63.89,46,72,-0.13,U.S. Open
20,,Guido Migliozzi,4,62.5,45,72,-0.22,U.S. Open
21,,Cameron Tringale,4,62.5,45,72,-0.27,U.S. Open
22,,Wil Besseling,4,61.11,44,72,-0.09,U.S. Open
23,,Marc Leishman,4,61.11,44,72,-0.23,U.S. Open
24,T22,Patrick Rodgers,4,61.11,44,72,-0.3,U.S. Open
25,T39,Justin Rose,4,61.11,44,72,-0.25,U.S. Open
26,,Travis Vick,4,61.11,44,72,-0.2,U.S. Open
27,,Richard Bland,4,59.72,43,72,-0.21,U.S. Open
28,,Patrick Cantlay,4,59.72,43,72,-0.3,U.S. Open
29,,Bryson DeChambeau,4,59.72,43,72,-0.14,U.S. Open
30,,Thomas Pieters,4,59.72,43,72,-0.19,U.S. Open
31,,Jordan Spieth,4,59.72,43,72,-0.35,U.S. Open
32,,Sam Stevens,4,59.72,43,72,-0.16,U.S. Open
33,,Sam Bennett,4,58.33,42,72,-0.1,U.S. Open
34,1,Sam Burns,4,58.33,42,72,-0.21,U.S. Open
35,T13,Adam Hadwin,4,58.33,42,72,-0.26,U.S. Open
36,,Beau Hossler,4,58.33,42,72,-0.1,U.S. Open
37,,Dustin Johnson,4,58.33,42,72,-0.21,U.S. Open
38,,Grayson Murray,4,58.33,42,72,-0.19,U.S. Open
39,,Joaquin Niemann,4,58.33,42,72,-0.17,U.S. Open
40,,Davis Riley,4,58.33,42,72,-0.29,U.S. Open
41,,Chris Gotterup,4,56.94,41,72,-0.1,U.S. Open
42,,Tyrrell Hatton,4,56.94,41,72,-0.22,U.S. Open
43,,Joohyung Kim,4,56.94,41,72,-0.24,U.S. Open
44,,Min Woo Lee,4,56.94,41,72,-0.12,U.S. Open
45,,Adam Schenk,4,56.94,41,72,-0.24,U.S. Open
46,,Todd Sinnott,4,56.94,41,72,-0.17,U.S. Open
47,,Harris English,4,55.56,40,72,-0.15,U.S. Open
48,,Brian Harman,4,55.56,40,72,-0.15,U.S. Open
49,T39,Sebastián Muñoz,4,55.56,40,72,-0.3,U.S. Open
50,,Andrew Putnam,4,55.56,40,72,-0.1,U.S. Open
51,,Xander Schauffele,4,55.56,40,72,-0.3,U.S. Open
52,,Adam Scott,4,55.56,40,72,-0.28,U.S. Open
53,,Stewart Hagestad,4,54.17,39,72,-0.13,U.S. Open
54,,Patrick Reed,4,54.17,39,72,-0.05,U.S. Open
55,,Aaron Wise,4,54.17,39,72,-0.26,U.S. Open
56,,Austin Greaser,4,52.78,38,72,-0.21,U.S. Open
57,T39,Mackenzie Hughes,4,51.39,37,72,-0.32,U.S. Open
58,,Chris Naegel,4,51.39,37,72,-0.22,U.S. Open
59,,Brooks Koepka,4,50.0,36,72,-0.33,U.S. Open
60,,MJ Daffue,4,48.61,35,72,-0.37,U.S. Open
61,,David Lingmerth,4,48.61,35,72,-0.17,U.S. Open
62,,Sebastian Soderberg,4,48.61,35,72,-0.17,U.S. Open
63,,Brandon Matthews,4,47.22,34,72,-0.12,U.S. Open
0,,Corey Conners,4,73.61,53,72,-0.36,The Memorial Tournament
1,,Billy Horschel,4,73.61,53,72,-0.28,The Memorial Tournament
2,,Joaquin Niemann,4,72.22,52,72,-0.37,The Memorial Tournament
3,T51,Pat Perez,4,69.44,50,72,-0.24,The Memorial Tournament
4,,Jon Rahm,4,68.06,49,72,-0.33,The Memorial Tournament
5,,Doug Ghim,4,66.67,48,72,-0.15,The Memorial Tournament
6,,Brendan Steele,4,66.67,48,72,-0.31,The Memorial Tournament
7,,Will Zalatoris,4,66.67,48,72,-0.44,The Memorial Tournament
8,,Garrick Higgo,4,65.28,47,72,-0.26,The Memorial Tournament
9,,Charles Howell III,4,63.89,46,72,-0.28,The Memorial Tournament
10,T4,Sungjae Im,4,63.89,46,72,-0.24,The Memorial Tournament
11,,Patrick Cantlay,4,62.5,45,72,-0.36,The Memorial Tournament
12,,Luke List,4,62.5,45,72,-0.36,The Memorial Tournament
13,,Rory McIlroy,4,62.5,45,72,-0.31,The Memorial Tournament
14,,Adam Schenk,4,62.5,45,72,-0.31,The Memorial Tournament
15,,Aaron Wise,4,62.5,45,72,-0.4,The Memorial Tournament
16,,Wyndham Clark,4,61.11,44,72,-0.3,The Memorial Tournament
17,T20,Joel Dahmen,4,61.11,44,72,-0.27,The Memorial Tournament
18,,David Lingmerth,4,61.11,44,72,-0.32,The Memorial Tournament
19,,Shane Lowry,4,61.11,44,72,-0.27,The Memorial Tournament
20,T59,Troy Merritt,4,61.11,44,72,-0.23,The Memorial Tournament
21,T46,Patrick Reed,4,61.11,44,72,-0.2,The Memorial Tournament
22,,Jhonattan Vegas,4,61.11,44,72,-0.25,The Memorial Tournament
23,T35,Daniel Berger,4,59.72,43,72,-0.4,The Memorial Tournament
24,,Adam Hadwin,4,59.72,43,72,-0.35,The Memorial Tournament
25,,Si Woo Kim,4,59.72,43,72,-0.28,The Memorial Tournament
26,T20,Chris Kirk,4,59.72,43,72,-0.3,The Memorial Tournament
27,T35,David Lipsky,4,59.72,43,72,-0.28,The Memorial Tournament
28,,J.T. Poston,4,59.72,43,72,-0.35,The Memorial Tournament
29,T7,Davis Riley,4,59.72,43,72,-0.28,The Memorial Tournament
30,,Xander Schauffele,4,59.72,43,72,-0.49,The Memorial Tournament
31,,Sepp Straka,4,59.72,43,72,-0.23,The Memorial Tournament
32,T51,Rickie Fowler,4,58.33,42,72,-0.24,The Memorial Tournament
33,,Lanto Griffin,4,58.33,42,72,-0.38,The Memorial Tournament
34,T29,Emiliano Grillo,4,58.33,42,72,-0.26,The Memorial Tournament
35,,Martin Laird,4,58.33,42,72,-0.24,The Memorial Tournament
36,T35,Matthew NeSmith,4,58.33,42,72,-0.29,The Memorial Tournament
37,,Adam Scott,4,58.33,42,72,-0.26,The Memorial Tournament
38,,Abraham Ancer,4,56.94,41,72,-0.34,The Memorial Tournament
39,,Keegan Bradley,4,56.94,41,72,-0.34,The Memorial Tournament
40,,Keith Mitchell,4,56.94,41,72,-0.32,The Memorial Tournament
41,T10,Mito Pereira,4,56.94,41,72,-0.46,The Memorial Tournament
42,T67,Sahith Theegala,4,56.94,41,72,-0.32,The Memorial Tournament
43,3,Lucas Glover,4,55.56,40,72,-0.2,The Memorial Tournament
44,T20,Max Homa,4,55.56,40,72,-0.45,The Memorial Tournament
45,,K.H. Lee,4,55.56,40,72,-0.35,The Memorial Tournament
46,,Francesco Molinari,4,55.56,40,72,-0.35,The Memorial Tournament
47,,Camilo Villegas,4,55.56,40,72,-0.18,The Memorial Tournament
48,,Jason Day,4,54.17,39,72,-0.31,The Memorial Tournament
49,,Brian Harman,4,54.17,39,72,-0.38,The Memorial Tournament
50,T29,Beau Hossler,4,54.17,39,72,-0.41,The Memorial Tournament
51,T16,C.T. Pan,4,54.17,39,72,-0.31,The Memorial Tournament
52,,Cameron Tringale,4,54.17,39,72,-0.26,The Memorial Tournament
53,T46,Cam Davis,4,52.78,38,72,-0.32,The Memorial Tournament
54,,Kramer Hickok,4,51.39,37,72,-0.19,The Memorial Tournament
55,T51,Viktor Hovland,4,51.39,37,72,-0.41,The Memorial Tournament
56,,Mackenzie Hughes,4,51.39,37,72,-0.35,The Memorial Tournament
57,T35,Denny McCarthy,4,51.39,37,72,-0.35,The Memorial Tournament
58,,Carlos Ortiz,4,51.39,37,72,-0.32,The Memorial Tournament
59,T20,Aaron Rai,4,51.39,37,72,-0.38,The Memorial Tournament
60,,Brandon Wu,4,51.39,37,72,-0.32,The Memorial Tournament
61,,Cameron Smith,4,50.0,36,72,-0.42,The Memorial Tournament
62,T10,Brandt Snedeker,4,50.0,36,72,-0.25,The Memorial Tournament
63,T35,Jordan Spieth,4,50.0,36,72,-0.31,The Memorial Tournament
64,T20,Adam Svensson,4,50.0,36,72,-0.36,The Memorial Tournament
65,,Cameron Young,4,50.0,36,72,-0.31,The Memorial Tournament
66,,Chan Kim,4,47.22,34,72,-0.21,The Memorial Tournament
67,,Matt Kuchar,4,47.22,34,72,-0.29,The Memorial Tournament
68,,Ryan Moore,4,45.83,33,72,-0.15,The Memorial Tournament
69,T67,Lucas Herbert,4,44.44,32,72,-0.38,The Memorial Tournament
0,,Sam Burns,4,80.56,58,72,-0.33,RBC Canadian Open
1,,Adam Long,4,79.17,57,72,-0.19,RBC Canadian Open
2,T55,Aaron Rai,4,79.17,57,72,-0.26,RBC Canadian Open
3,,Justin Thomas,4,76.39,55,72,-0.36,RBC Canadian Open
4,T17,Jhonattan Vegas,4,76.39,55,72,-0.2,RBC Canadian Open
5,T1,Corey Conners,4,73.61,53,72,-0.32,RBC Canadian Open
6,,Mark Hubbard,4,72.22,52,72,-0.31,RBC Canadian Open
7,T17,Shane Lowry,4,72.22,52,72,-0.33,RBC Canadian Open
8,,Nick Hardy,4,70.83,51,72,-0.35,RBC Canadian Open
9,T24,Chris Kirk,4,70.83,51,72,-0.25,RBC Canadian Open
10,,Chase Seiffert,4,70.83,51,72,-0.25,RBC Canadian Open
11,,Alex Smalley,4,70.83,51,72,-0.22,RBC Canadian Open
12,T24,Adam Hadwin,4,69.44,50,72,-0.24,RBC Canadian Open
13,,Lee Hodges,4,69.44,50,72,-0.2,RBC Canadian Open
14,,Danny Lee,4,69.44,50,72,-0.28,RBC Canadian Open
15,,Matt Fitzpatrick,4,68.06,49,72,-0.39,RBC Canadian Open
16,T33,Emiliano Grillo,4,68.06,49,72,-0.35,RBC Canadian Open
17,,John Huh,4,68.06,49,72,-0.29,RBC Canadian Open
18,T12,Rory McIlroy,4,68.06,49,72,-0.45,RBC Canadian Open
19,,Scottie Scheffler,4,68.06,49,72,-0.37,RBC Canadian Open
20,,Vince Whaley,4,68.06,49,72,-0.27,RBC Canadian Open
21,,Paul Barjon,4,66.67,48,72,-0.29,RBC Canadian Open
22,T17,Wyndham Clark,4,66.67,48,72,-0.4,RBC Canadian Open
23,,Tony Finau,4,66.67,48,72,-0.46,RBC Canadian Open
24,T39,Keith Mitchell,4,66.67,48,72,-0.33,RBC Canadian Open
25,,Patrick Rodgers,4,66.67,48,72,-0.4,RBC Canadian Open
26,T62,Brandt Snedeker,4,66.67,48,72,-0.27,RBC Canadian Open
27,,Brendon Todd,4,66.67,48,72,-0.27,RBC Canadian Open
28,,Harold Varner III,4,66.67,48,72,-0.31,RBC Canadian Open
29,,Aaron Cockerill,4,65.28,47,72,-0.26,RBC Canadian Open
30,,Dylan Frittelli,4,65.28,47,72,-0.17,RBC Canadian Open
31,T6,Doug Ghim,4,65.28,47,72,-0.28,RBC Canadian Open
32,,Hank Lebioda,4,65.28,47,72,-0.28,RBC Canadian Open
33,T55,Carlos Ortiz,4,65.28,47,72,-0.21,RBC Canadian Open
34,,Robert Streb,4,65.28,47,72,-0.23,RBC Canadian Open
35,T62,Adam Svensson,4,65.28,47,72,-0.38,RBC Canadian Open
36,T39,Sahith Theegala,4,65.28,47,72,-0.13,RBC Canadian Open
37,,Danny Willett,4,65.28,47,72,-0.4,RBC Canadian Open
38,T55,Mackenzie Hughes,4,63.89,46,72,-0.35,RBC Canadian Open
39,,Justin Lower,4,63.89,46,72,-0.26,RBC Canadian Open
40,,Sebastián Muñoz,4,63.89,46,72,-0.33,RBC Canadian Open
41,,Justin Rose,4,63.89,46,72,-0.52,RBC Canadian Open
42,T62,Cameron Smith,4,63.89,46,72,-0.3,RBC Canadian Open
43,,Dawie van der Walt,4,63.89,46,72,-0.2,RBC Canadian Open
44,,Austin Cook,4,62.5,45,72,-0.33,RBC Canadian Open
45,T55,Kramer Hickok,4,62.5,45,72,-0.24,RBC Canadian Open
46,,Ben Martin,4,62.5,45,72,-0.24,RBC Canadian Open
47,69,Ryan Moore,4,62.5,45,72,-0.38,RBC Canadian Open
48,,Seung-Yul Noh,4,62.5,45,72,-0.29,RBC Canadian Open
49,,Cameron Percy,4,62.5,45,72,-0.07,RBC Canadian Open
50,,Scott Piercy,4,62.5,45,72,-0.38,RBC Canadian Open
51,,Nick Taylor,4,62.5,45,72,-0.29,RBC Canadian Open
52,,Matt Wallace,4,62.5,45,72,-0.31,RBC Canadian Open
53,,Brandon Hagy,4,61.11,44,72,-0.2,RBC Canadian Open
54,,Jim Knous,4,61.11,44,72,-0.34,RBC Canadian Open
55,,Austin Smotherman,4,61.11,44,72,-0.34,RBC Canadian Open
56,,Ryan Armour,4,59.72,43,72,-0.28,RBC Canadian Open
57,,Brett Drewitt,4,59.72,43,72,-0.16,RBC Canadian Open
58,,Bo Van Pelt,4,59.72,43,72,-0.35,RBC Canadian Open
59,,Charley Hoffman,4,58.33,42,72,-0.26,RBC Canadian Open
60,,Vaughn Taylor,4,58.33,42,72,-0.29,RBC Canadian Open
61,,Jonas Blixt,4,56.94,41,72,-0.41,RBC Canadian Open
