,RANK LAST WEEK,PLAYER NAME,EVENT,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
0,,Will Zalatoris,U.S. Open,4.0,"28' 3""",2033.417,72.0,5 Under
1,,Denny McCarthy,U.S. Open,4.0,"30' 9""",2216.167,72.0,1 Under
2,,Keegan Bradley,U.S. Open,4.0,"31' 7""",2275.0,72.0,1 Under
3,,Chris Gotterup,U.S. Open,4.0,"32' 5""",2334.417,72.0,8 Over
4,,Joel Dahmen,U.S. Open,4.0,"32' 11""",2369.583,72.0,Even
5,,Hideki Matsuyama,U.S. Open,4.0,"33' 7""",2417.167,72.0,3 Under
6,40,Scottie Scheffler,U.S. Open,4.0,"33' 9""",2428.25,72.0,5 Under
7,,Marc Leishman,U.S. Open,4.0,"34' 0""",2446.917,72.0,2 Over
8,,Austin Greaser,U.S. Open,4.0,"34' 11""",2515.417,72.0,17 Over
9,,Collin Morikawa,U.S. Open,4.0,"35' 1""",2528.583,72.0,2 Under
10,T22,Rory McIlroy,U.S. Open,4.0,"35' 2""",2529.5,72.0,2 Under
11,T55,Adam Hadwin,U.S. Open,4.0,"35' 6""",2556.75,72.0,1 Under
12,,Sam Stevens,U.S. Open,4.0,"35' 7""",2559.167,72.0,10 Over
13,,Richard Bland,U.S. Open,4.0,"35' 8""",2567.083,72.0,8 Over
14,52,Matt Fitzpatrick,U.S. Open,4.0,"35' 10""",2581.25,72.0,6 Under
15,,Travis Vick,U.S. Open,4.0,"35' 10""",2579.417,72.0,8 Over
16,T32,Sebastián Muñoz,U.S. Open,4.0,"36' 2""",2605.0,72.0,2 Over
17,,Grayson Murray,U.S. Open,4.0,"36' 3""",2610.417,72.0,18 Over
18,,Hayden Buckley,U.S. Open,4.0,"36' 5""",2624.25,72.0,2 Over
19,,Callum Tarren,U.S. Open,4.0,"36' 5""",2621.5,72.0,6 Over
20,,Dustin Johnson,U.S. Open,4.0,"36' 7""",2632.833,72.0,4 Over
21,,Todd Sinnott,U.S. Open,4.0,"36' 7""",2635.833,72.0,6 Over
22,,Davis Riley,U.S. Open,4.0,"36' 11""",2656.583,72.0,6 Over
23,,Harris English,U.S. Open,4.0,"37' 2""",2674.333,72.0,17 Over
24,,Guido Migliozzi,U.S. Open,4.0,"37' 5""",2655.417,71.0,Even
25,,MJ Daffue,U.S. Open,4.0,"37' 7""",2708.083,72.0,6 Over
26,,Min Woo Lee,U.S. Open,4.0,"37' 8""",2712.417,72.0,5 Over
27,,Matthew NeSmith,U.S. Open,4.0,"38' 3""",2752.25,72.0,7 Over
28,,Jon Rahm,U.S. Open,4.0,"38' 4""",2759.0,72.0,1 Over
29,,Max Homa,U.S. Open,4.0,"38' 5""",2765.083,72.0,9 Over
30,,Sam Bennett,U.S. Open,4.0,"38' 7""",2780.167,72.0,10 Over
31,,Gary Woodland,U.S. Open,4.0,"38' 7""",2775.5,72.0,Even
32,,Joseph Bramlett,U.S. Open,4.0,"38' 8""",2781.917,72.0,7 Over
33,,Cameron Tringale,U.S. Open,4.0,"38' 8""",2784.083,72.0,2 Over
34,,Aaron Wise,U.S. Open,4.0,"38' 9""",2789.833,72.0,5 Over
35,,Wil Besseling,U.S. Open,4.0,"39' 0""",2808.0,72.0,13 Over
36,68,Patrick Rodgers,U.S. Open,4.0,"39' 0""",2810.667,72.0,6 Over
37,,Chris Naegel,U.S. Open,4.0,"39' 5""",2835.083,72.0,13 Over
38,,Adam Schenk,U.S. Open,4.0,"39' 5""",2838.167,72.0,4 Over
39,,Adam Scott,U.S. Open,4.0,"39' 5""",2840.083,72.0,2 Over
40,T16,Justin Thomas,U.S. Open,4.0,"39' 5""",2837.083,72.0,7 Over
41,,Stewart Hagestad,U.S. Open,4.0,"40' 6""",2917.75,72.0,19 Over
42,,Thomas Pieters,U.S. Open,4.0,"40' 8""",2930.833,72.0,5 Over
43,,Joaquin Niemann,U.S. Open,4.0,"40' 10""",2937.333,72.0,9 Over
44,11,Justin Rose,U.S. Open,4.0,"40' 10""",2937.167,72.0,7 Over
45,,Andrew Putnam,U.S. Open,4.0,"41' 0""",2951.333,72.0,6 Over
46,,Brooks Koepka,U.S. Open,4.0,"41' 1""",2960.167,72.0,12 Over
47,,Joohyung Kim,U.S. Open,4.0,"41' 3""",2928.917,71.0,2 Over
48,,Seamus Power,U.S. Open,4.0,"41' 3""",2971.333,72.0,1 Over
49,43,Nick Hardy,U.S. Open,4.0,"41' 4""",2931.75,71.0,1 Under
50,4,Sam Burns,U.S. Open,4.0,"41' 7""",2991.583,72.0,5 Over
51,,Patrick Cantlay,U.S. Open,4.0,"41' 7""",2992.667,72.0,2 Over
52,T16,Mackenzie Hughes,U.S. Open,4.0,"41' 7""",2993.333,72.0,4 Over
53,,David Lingmerth,U.S. Open,4.0,"42' 4""",3046.083,72.0,10 Over
54,,Brandon Matthews,U.S. Open,4.0,"42' 5""",3054.75,72.0,16 Over
55,,Patrick Reed,U.S. Open,4.0,"42' 5""",3056.583,72.0,10 Over
56,,Sebastian Soderberg,U.S. Open,4.0,"42' 8""",3070.667,72.0,11 Over
57,,Xander Schauffele,U.S. Open,4.0,"42' 11""",3090.333,72.0,2 Over
58,,Bryson DeChambeau,U.S. Open,4.0,"43' 0""",3054.667,71.0,11 Over
59,,Brian Harman,U.S. Open,4.0,"43' 7""",3140.25,72.0,8 Over
60,,Beau Hossler,U.S. Open,4.0,"44' 11""",3232.833,72.0,11 Over
61,,Tyrrell Hatton,U.S. Open,4.0,"45' 0""",3242.917,72.0,13 Over
62,,K.H. Lee,U.S. Open,4.0,"45' 2""",3251.5,72.0,7 Over
63,,Jordan Spieth,U.S. Open,4.0,"45' 6""",3278.5,72.0,7 Over
0,,Aaron Wise,The Memorial Tournament,4.0,"29' 1""",2034.083,70.0,11 Under
1,,Billy Horschel,The Memorial Tournament,4.0,"29' 4""",2111.0,72.0,13 Under
2,,Adam Scott,The Memorial Tournament,4.0,"29' 5""",2058.25,70.0,8 Over
3,,Brendan Steele,The Memorial Tournament,4.0,"30' 2""",2140.417,71.0,4 Under
4,,Corey Conners,The Memorial Tournament,4.0,"30' 3""",2145.417,71.0,5 Under
5,,David Lingmerth,The Memorial Tournament,4.0,"30' 5""",2159.333,71.0,3 Over
6,,Shane Lowry,The Memorial Tournament,4.0,"30' 11""",2196.0,71.0,1 Under
7,,Luke List,The Memorial Tournament,4.0,"31' 7""",2178.083,69.0,7 Under
8,,Adam Schenk,The Memorial Tournament,4.0,"32' 1""",2279.417,71.0,2 Under
9,,Will Zalatoris,The Memorial Tournament,4.0,"32' 1""",2278.417,71.0,8 Under
10,,Wyndham Clark,The Memorial Tournament,4.0,"32' 2""",2254.417,70.0,1 Under
11,T24,Joel Dahmen,The Memorial Tournament,4.0,"32' 4""",2196.167,68.0,5 Under
12,,Martin Laird,The Memorial Tournament,4.0,"32' 8""",2350.417,72.0,2 Over
13,64,Pat Perez,The Memorial Tournament,4.0,"32' 8""",2287.333,70.0,3 Under
14,31,Sahith Theegala,The Memorial Tournament,4.0,"32' 9""",2359.417,72.0,6 Under
15,,Charles Howell III,The Memorial Tournament,4.0,"32' 10""",2361.583,72.0,2 Under
16,T24,Rickie Fowler,The Memorial Tournament,4.0,"33' 1""",2313.833,70.0,3 Over
17,T28,Emiliano Grillo,The Memorial Tournament,4.0,"33' 1""",2285.0,69.0,2 Under
18,,Garrick Higgo,The Memorial Tournament,4.0,"33' 2""",2388.75,72.0,2 Under
19,11,Sungjae Im,The Memorial Tournament,4.0,"33' 2""",2357.0,71.0,5 Under
20,65,Matthew NeSmith,The Memorial Tournament,4.0,"33' 5""",2405.833,72.0,2 Over
21,46,Daniel Berger,The Memorial Tournament,4.0,"33' 6""",2412.167,72.0,6 Under
22,,Rory McIlroy,The Memorial Tournament,4.0,"33' 6""",2343.25,70.0,5 Under
23,,Camilo Villegas,The Memorial Tournament,4.0,"33' 6""",2412.917,72.0,6 Over
24,,Ryan Moore,The Memorial Tournament,4.0,"33' 7""",2385.5,71.0,14 Over
25,T42,Cam Davis,The Memorial Tournament,4.0,"33' 8""",2357.75,70.0,3 Over
26,1,Lucas Glover,The Memorial Tournament,4.0,"33' 9""",2360.917,70.0,4 Over
27,,Joaquin Niemann,The Memorial Tournament,4.0,"33' 9""",2429.417,72.0,7 Under
28,45,Max Homa,The Memorial Tournament,4.0,"33' 10""",2438.833,72.0,6 Under
29,T26,Davis Riley,The Memorial Tournament,4.0,"33' 11""",2441.5,72.0,3 Under
30,,Xander Schauffele,The Memorial Tournament,4.0,"34' 3""",2431.667,71.0,4 Under
31,T40,Patrick Reed,The Memorial Tournament,4.0,"34' 4""",2404.5,70.0,3 Over
32,,Jon Rahm,The Memorial Tournament,4.0,"34' 6""",2483.5,72.0,4 Under
33,,Abraham Ancer,The Memorial Tournament,4.0,"34' 9""",2429.75,70.0,2 Under
34,,Carlos Ortiz,The Memorial Tournament,4.0,"34' 9""",2469.333,71.0,7 Over
35,,Patrick Cantlay,The Memorial Tournament,4.0,"34' 10""",2505.0,72.0,7 Under
36,,Brian Harman,The Memorial Tournament,4.0,"35' 0""",2450.167,70.0,4 Under
37,,Sepp Straka,The Memorial Tournament,4.0,"35' 2""",2497.5,71.0,1 Over
38,,Keegan Bradley,The Memorial Tournament,4.0,"35' 9""",2571.417,72.0,2 Over
39,,Matt Kuchar,The Memorial Tournament,4.0,"35' 10""",2582.667,72.0,3 Over
40,,Doug Ghim,The Memorial Tournament,4.0,"35' 11""",2587.167,72.0,7 Over
41,5,Mito Pereira,The Memorial Tournament,4.0,"36' 0""",2590.917,72.0,3 Under
42,,Kramer Hickok,The Memorial Tournament,4.0,"36' 2""",2566.5,71.0,6 Over
43,68,Denny McCarthy,The Memorial Tournament,4.0,"36' 2""",2604.0,72.0,6 Under
44,37,Adam Svensson,The Memorial Tournament,4.0,"36' 3""",2574.667,71.0,1 Over
45,,Cameron Young,The Memorial Tournament,4.0,"36' 11""",2621.583,71.0,3 Over
46,59,Lucas Herbert,The Memorial Tournament,4.0,"37' 0""",2516.833,68.0,2 Under
47,T14,Viktor Hovland,The Memorial Tournament,4.0,"37' 1""",2596.5,70.0,3 Over
48,,K.H. Lee,The Memorial Tournament,4.0,"37' 2""",2603.333,70.0,2 Over
49,,Francesco Molinari,The Memorial Tournament,4.0,"37' 2""",2641.0,71.0,2 Under
50,,Lanto Griffin,The Memorial Tournament,4.0,"37' 9""",2605.0,69.0,Even
51,,J.T. Poston,The Memorial Tournament,4.0,"37' 11""",2728.583,72.0,2 Over
52,,Brandon Wu,The Memorial Tournament,4.0,"37' 11""",2690.833,71.0,10 Over
53,36,David Lipsky,The Memorial Tournament,4.0,"38' 0""",2700.667,71.0,1 Over
54,,Mackenzie Hughes,The Memorial Tournament,4.0,"38' 1""",2705.917,71.0,1 Over
55,39,Troy Merritt,The Memorial Tournament,4.0,"38' 1""",2706.25,71.0,5 Over
56,4,Chris Kirk,The Memorial Tournament,4.0,"38' 4""",2605.833,68.0,1 Under
57,66,Aaron Rai,The Memorial Tournament,4.0,"38' 8""",2746.333,71.0,3 Under
58,,Adam Hadwin,The Memorial Tournament,4.0,"39' 3""",2785.5,71.0,4 Under
59,,Cameron Tringale,The Memorial Tournament,4.0,"39' 4""",2755.417,70.0,Even
60,,Si Woo Kim,The Memorial Tournament,4.0,"39' 6""",2728.333,69.0,4 Under
61,20,C.T. Pan,The Memorial Tournament,4.0,"39' 8""",2858.083,72.0,6 Over
62,,Chan Kim,The Memorial Tournament,4.0,"40' 3""",2900.583,72.0,11 Over
63,T40,Brandt Snedeker,The Memorial Tournament,4.0,"40' 3""",2858.417,71.0,7 Over
64,T42,Beau Hossler,The Memorial Tournament,4.0,"40' 6""",2752.917,68.0,5 Under
65,,Jhonattan Vegas,The Memorial Tournament,4.0,"40' 7""",2920.917,72.0,2 Over
66,,Keith Mitchell,The Memorial Tournament,4.0,"40' 11""",2905.833,71.0,2 Under
67,,Cameron Smith,The Memorial Tournament,4.0,"40' 11""",2904.917,71.0,5 Under
68,T51,Jordan Spieth,The Memorial Tournament,4.0,"42' 5""",2969.0,70.0,3 Under
69,,Jason Day,The Memorial Tournament,4.0,"42' 7""",2935.75,69.0,4 Under
0,,Chase Seiffert,RBC Canadian Open,4.0,"29' 6""",2125.0,72.0,4 Under
1,,Harold Varner III,RBC Canadian Open,4.0,"29' 10""",2149.167,72.0,8 Under
2,5,Corey Conners,RBC Canadian Open,4.0,"30' 4""",2181.083,72.0,12 Under
3,,Sam Burns,RBC Canadian Open,4.0,"30' 5""",2190.25,72.0,14 Under
4,,John Huh,RBC Canadian Open,4.0,"30' 7""",2202.0,72.0,5 Under
5,58,Aaron Rai,RBC Canadian Open,4.0,"30' 9""",2216.667,72.0,8 Under
6,66,Jhonattan Vegas,RBC Canadian Open,4.0,"30' 9""",2212.5,72.0,1 Over
7,,Hank Lebioda,RBC Canadian Open,4.0,"31' 0""",2231.917,72.0,4 Under
8,7,Shane Lowry,RBC Canadian Open,4.0,"31' 8""",2278.833,72.0,9 Under
9,,Nick Taylor,RBC Canadian Open,4.0,"31' 8""",2278.333,72.0,4 Under
10,,Justin Rose,RBC Canadian Open,4.0,"31' 9""",2286.917,72.0,14 Under
11,,Kelly Kraft,RBC Canadian Open,4.0,"31' 10""",2291.417,72.0,8 Under
12,,Seung-Yul Noh,RBC Canadian Open,4.0,"31' 11""",2300.0,72.0,3 Under
13,11,Wyndham Clark,RBC Canadian Open,4.0,"32' 2""",2314.583,72.0,10 Under
14,,Lee Hodges,RBC Canadian Open,4.0,"32' 2""",2315.333,72.0,Even
15,T55,Mackenzie Hughes,RBC Canadian Open,4.0,"32' 4""",2329.5,72.0,4 Under
16,,Justin Thomas,RBC Canadian Open,4.0,"32' 4""",2328.917,72.0,15 Under
17,,Sean O'Hair,RBC Canadian Open,4.0,"32' 7""",2347.417,72.0,5 Over
18,,Alex Smalley,RBC Canadian Open,4.0,"32' 7""",2343.167,72.0,6 Under
19,,Mark Hubbard,RBC Canadian Open,4.0,"32' 9""",2327.25,71.0,5 Under
20,,Jim Knous,RBC Canadian Open,4.0,"32' 9""",2355.917,72.0,5 Under
21,T22,Rory McIlroy,RBC Canadian Open,4.0,"33' 2""",2386.25,72.0,19 Under
22,T67,Cameron Smith,RBC Canadian Open,4.0,"33' 2""",2386.583,72.0,Even
23,,J.J. Henry,RBC Canadian Open,4.0,"33' 4""",2400.833,72.0,2 Over
24,,Brett Drewitt,RBC Canadian Open,4.0,"33' 5""",2406.167,72.0,1 Over
25,,Danny Willett,RBC Canadian Open,4.0,"33' 5""",2403.0,72.0,4 Under
26,57,Chris Kirk,RBC Canadian Open,4.0,"33' 7""",2416.417,72.0,10 Under
27,,Vaughn Taylor,RBC Canadian Open,4.0,"33' 7""",2415.917,72.0,Even
28,,Tony Finau,RBC Canadian Open,4.0,"33' 8""",2422.75,72.0,17 Under
29,,Austin Cook,RBC Canadian Open,4.0,"33' 10""",2435.167,72.0,8 Under
30,,Ryan Armour,RBC Canadian Open,4.0,"34' 0""",2447.5,72.0,3 Under
31,,Sebastián Muñoz,RBC Canadian Open,4.0,"34' 1""",2455.167,72.0,5 Under
32,T34,Carlos Ortiz,RBC Canadian Open,4.0,"34' 1""",2453.667,72.0,1 Under
33,,Adam Long,RBC Canadian Open,4.0,"34' 2""",2461.75,72.0,6 Under
34,,Danny Lee,RBC Canadian Open,4.0,"34' 3""",2468.0,72.0,9 Under
35,,Scott Piercy,RBC Canadian Open,4.0,"34' 4""",2470.833,72.0,6 Under
36,41,Doug Ghim,RBC Canadian Open,4.0,"34' 6""",2482.667,72.0,7 Under
37,,Dylan Frittelli,RBC Canadian Open,4.0,"34' 7""",2487.167,72.0,3 Over
38,T43,Kramer Hickok,RBC Canadian Open,4.0,"34' 10""",2506.917,72.0,3 Over
39,,Scottie Scheffler,RBC Canadian Open,4.0,"34' 11""",2515.167,72.0,7 Under
40,,Trey Mullinax,RBC Canadian Open,4.0,"35' 0""",2518.333,72.0,6 Over
41,,Cameron Percy,RBC Canadian Open,4.0,"35' 1""",2523.583,72.0,2 Over
42,,Nick Hardy,RBC Canadian Open,4.0,"35' 6""",2554.5,72.0,3 Under
43,T67,Keith Mitchell,RBC Canadian Open,4.0,"35' 9""",2573.5,72.0,10 Under
44,,Vince Whaley,RBC Canadian Open,4.0,"35' 9""",2574.083,72.0,3 Under
45,T17,Emiliano Grillo,RBC Canadian Open,4.0,"35' 10""",2581.667,72.0,4 Under
46,,Robert Streb,RBC Canadian Open,4.0,"35' 11""",2586.583,72.0,1 Over
47,25,Ryan Moore,RBC Canadian Open,4.0,"36' 0""",2590.667,72.0,3 Under
48,,Paul Barjon,RBC Canadian Open,4.0,"36' 3""",2609.583,72.0,1 Under
49,,Aaron Cockerill,RBC Canadian Open,4.0,"36' 3""",2608.833,72.0,Even
50,T63,Brandt Snedeker,RBC Canadian Open,4.0,"36' 4""",2617.5,72.0,Even
51,,Matt Fitzpatrick,RBC Canadian Open,4.0,"36' 5""",2587.25,71.0,11 Under
52,,Justin Lower,RBC Canadian Open,4.0,"36' 8""",2638.25,72.0,3 Under
53,,Brendon Todd,RBC Canadian Open,4.0,"36' 11""",2655.167,72.0,8 Under
54,59,Adam Hadwin,RBC Canadian Open,4.0,"37' 1""",2669.25,72.0,3 Under
55,,Brandon Hagy,RBC Canadian Open,4.0,"37' 1""",2672.0,72.0,5 Over
56,,Bo Van Pelt,RBC Canadian Open,4.0,"37' 2""",2675.167,72.0,1 Over
57,45,Adam Svensson,RBC Canadian Open,4.0,"37' 6""",2701.25,72.0,6 Under
58,,Andrew Novak,RBC Canadian Open,4.0,"37' 9""",2680.083,71.0,3 Over
59,,Dawie van der Walt,RBC Canadian Open,4.0,"37' 9""",2715.667,72.0,8 Over
60,,Charley Hoffman,RBC Canadian Open,4.0,"37' 10""",2726.333,72.0,3 Under
61,,David Skinns,RBC Canadian Open,4.0,"38' 0""",2736.917,72.0,5 Over
62,,Austin Smotherman,RBC Canadian Open,4.0,"38' 3""",2753.667,72.0,2 Under
63,,Ben Martin,RBC Canadian Open,4.0,"38' 5""",2765.833,72.0,1 Over
64,,Matt Wallace,RBC Canadian Open,4.0,"39' 8""",2858.417,72.0,3 Under
65,,Jonas Blixt,RBC Canadian Open,4.0,"40' 0""",2880.0,72.0,4 Under
66,,Ben Crane,RBC Canadian Open,4.0,"40' 1""",2887.833,72.0,4 Over
67,,Patrick Rodgers,RBC Canadian Open,4.0,"40' 5""",2909.917,72.0,7 Under
68,,Rafa Cabrera Bello,RBC Canadian Open,4.0,"42' 9""",3080.833,72.0,5 Over
69,15,Sahith Theegala,RBC Canadian Open,4.0,"44' 1""",3174.333,72.0,1 Over
0,,Hideki Matsuyama,AT&T Bryon Nelson,4.0,"29' 2""",2097.583,72.0,24 Under
1,T5,Matt Kuchar,AT&T Bryon Nelson,4.0,"32' 8""",2354.583,72.0,20 Under
2,,Mito Pereira,AT&T Bryon Nelson,4.0,"32' 8""",2350.083,72.0,18 Under
3,,Joohyung Kim,AT&T Bryon Nelson,4.0,"33' 7""",2417.75,72.0,18 Under
4,,Mark Hubbard,AT&T Bryon Nelson,4.0,"33' 10""",2434.083,72.0,16 Under
5,,Aaron Rai,AT&T Bryon Nelson,4.0,"34' 3""",2464.75,72.0,14 Under
6,T50,James Hahn,AT&T Bryon Nelson,4.0,"34' 9""",2499.583,72.0,21 Under
7,,Jason Kokrak,AT&T Bryon Nelson,4.0,"34' 9""",2504.75,72.0,18 Under
8,,David Lipsky,AT&T Bryon Nelson,4.0,"35' 0""",2484.5,71.0,16 Under
9,,Emiliano Grillo,AT&T Bryon Nelson,4.0,"35' 1""",2525.5,72.0,14 Under
10,,J.J. Spaun,AT&T Bryon Nelson,4.0,"35' 3""",2535.917,72.0,15 Under
11,,Jordan Spieth,AT&T Bryon Nelson,4.0,"35' 10""",2580.417,72.0,25 Under
12,,Justin Thomas,AT&T Bryon Nelson,4.0,"36' 3""",2576.083,71.0,23 Under
13,T25,Rory Sabbatini,AT&T Bryon Nelson,4.0,"36' 4""",2614.25,72.0,17 Under
