,RANK LAST WEEK,PLAYER NAME,EVENT,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
14,,Aaron Wise,AT&T Bryon Nelson,4.0,"36' 5""",2624.833,72.0,13 Under
15,,Marc Leishman,AT&T Bryon Nelson,4.0,"36' 11""",2656.417,72.0,13 Under
16,,Chesson Hadley,AT&T Bryon Nelson,4.0,"37' 1""",2634.917,71.0,11 Under
17,,Xander Schauffele,AT&T Bryon Nelson,4.0,"37' 1""",2671.667,72.0,23 Under
18,,Cameron Champ,AT&T Bryon Nelson,4.0,"37' 2""",2673.667,72.0,15 Under
19,,Sebastián Muñoz,AT&T Bryon Nelson,4.0,"37' 2""",2677.5,72.0,24 Under
20,,Nate Lashley,AT&T Bryon Nelson,4.0,"37' 4""",2685.333,72.0,18 Under
21,,Pat Perez,AT&T Bryon Nelson,4.0,"37' 6""",2697.583,72.0,15 Under
22,,Matthias Schwab,AT&T Bryon Nelson,4.0,"37' 8""",2709.083,72.0,12 Under
23,,Adam Scott,AT&T Bryon Nelson,4.0,"37' 8""",2675.25,71.0,17 Under
24,,Scott Stallings,AT&T Bryon Nelson,4.0,"37' 8""",2677.083,71.0,17 Under
25,,Andrew Novak,AT&T Bryon Nelson,4.0,"37' 10""",2725.75,72.0,14 Under
26,T19,Callum Tarren,AT&T Bryon Nelson,4.0,"37' 10""",2722.833,72.0,14 Under
27,,Scottie Scheffler,AT&T Bryon Nelson,4.0,"37' 11""",2727.75,72.0,19 Under
28,,Alex Noren,AT&T Bryon Nelson,4.0,"38' 1""",2704.75,71.0,21 Under
29,T5,Paul Barjon,AT&T Bryon Nelson,4.0,"38' 4""",2761.75,72.0,11 Under
30,,Tom Hoge,AT&T Bryon Nelson,4.0,"38' 4""",2758.25,72.0,18 Under
31,,Peter Uihlein,AT&T Bryon Nelson,4.0,"38' 7""",2775.917,72.0,11 Under
32,,Christiaan Bezuidenhout,AT&T Bryon Nelson,4.0,"38' 9""",2791.833,72.0,20 Under
33,,Tyler Duncan,AT&T Bryon Nelson,4.0,"38' 10""",2795.167,72.0,12 Under
34,T64,Dawie van der Walt,AT&T Bryon Nelson,4.0,"38' 10""",2796.667,72.0,6 Under
35,60,Taylor Moore,AT&T Bryon Nelson,4.0,"39' 5""",2838.0,72.0,16 Under
36,,Dustin Johnson,AT&T Bryon Nelson,4.0,"39' 6""",2843.5,72.0,12 Under
37,T3,Lanto Griffin,AT&T Bryon Nelson,4.0,"39' 8""",2855.667,72.0,13 Under
38,,Trey Mullinax,AT&T Bryon Nelson,4.0,"39' 9""",2825.083,71.0,17 Under
39,13,Austin Smotherman,AT&T Bryon Nelson,4.0,"39' 9""",2860.667,72.0,17 Under
40,,Joaquin Niemann,AT&T Bryon Nelson,4.0,"39' 10""",2828.333,71.0,18 Under
41,22,Jason Day,AT&T Bryon Nelson,4.0,"39' 11""",2835.5,71.0,14 Under
42,,Vaughn Taylor,AT&T Bryon Nelson,4.0,"40' 1""",2884.917,72.0,9 Under
43,,Ian Poulter,AT&T Bryon Nelson,4.0,"40' 2""",2810.083,70.0,14 Under
44,,Patton Kizzire,AT&T Bryon Nelson,4.0,"40' 6""",2918.5,72.0,4 Under
45,28,Michael Thompson,AT&T Bryon Nelson,4.0,"40' 10""",2937.167,72.0,17 Under
46,,Wesley Bryan,AT&T Bryon Nelson,4.0,"41' 0""",2949.0,72.0,11 Under
47,,Patrick Rodgers,AT&T Bryon Nelson,4.0,"41' 0""",2952.917,72.0,16 Under
48,,Kyle Wilshire,AT&T Bryon Nelson,4.0,"41' 0""",2953.667,72.0,6 Under
49,,Sepp Straka,AT&T Bryon Nelson,4.0,"41' 4""",2973.667,72.0,9 Under
50,,Maverick McNealy,AT&T Bryon Nelson,4.0,"41' 5""",2981.417,72.0,16 Under
51,,Ryan Palmer,AT&T Bryon Nelson,4.0,"41' 6""",2944.917,71.0,24 Under
52,,Davis Riley,AT&T Bryon Nelson,4.0,"41' 7""",2993.583,72.0,21 Under
53,,Brice Garnett,AT&T Bryon Nelson,4.0,"41' 8""",2997.167,72.0,19 Under
54,,Branden Grace,AT&T Bryon Nelson,4.0,"41' 9""",2966.5,71.0,16 Under
55,T38,Justin Lower,AT&T Bryon Nelson,4.0,"41' 10""",3014.417,72.0,14 Under
56,,Kiradech Aphibarnrat,AT&T Bryon Nelson,4.0,"42' 0""",3024.833,72.0,8 Under
57,,Carlos Ortiz,AT&T Bryon Nelson,4.0,"42' 1""",3031.667,72.0,15 Under
58,,Charl Schwartzel,AT&T Bryon Nelson,4.0,"42' 1""",3031.917,72.0,22 Under
59,,David Skinns,AT&T Bryon Nelson,4.0,"42' 1""",3027.583,72.0,15 Under
60,T19,Jhonattan Vegas,AT&T Bryon Nelson,4.0,"42' 1""",3029.167,72.0,12 Under
61,,Seamus Power,AT&T Bryon Nelson,4.0,"42' 2""",2996.333,71.0,19 Under
62,,Max McGreevy,AT&T Bryon Nelson,4.0,"42' 7""",3020.667,71.0,5 Under
63,,Sahith Theegala,AT&T Bryon Nelson,4.0,"42' 11""",3048.667,71.0,8 Under
64,,Tommy Fleetwood,AT&T Bryon Nelson,4.0,"43' 0""",3098.917,72.0,12 Under
65,,Jared Wolfe,AT&T Bryon Nelson,4.0,"43' 2""",3108.25,72.0,13 Under
66,,Martin Trainer,AT&T Bryon Nelson,4.0,"43' 4""",3121.167,72.0,8 Under
67,,Adam Svensson,AT&T Bryon Nelson,4.0,"43' 7""",3135.833,72.0,10 Under
68,,Seth Reeves,AT&T Bryon Nelson,4.0,"43' 8""",3143.333,72.0,10 Under
69,40,Michael Gligic,AT&T Bryon Nelson,4.0,"44' 2""",3180.833,72.0,9 Under
70,,Conrad Shindler,AT&T Bryon Nelson,4.0,"44' 2""",3182.333,72.0,15 Under
71,T50,Dylan Frittelli,AT&T Bryon Nelson,4.0,"44' 4""",3193.667,72.0,10 Under
72,,Beau Hossler,AT&T Bryon Nelson,4.0,"44' 5""",3199.25,72.0,18 Under
73,43,Stephan Jaeger,AT&T Bryon Nelson,4.0,"44' 5""",3199.167,72.0,15 Under
74,,Francesco Molinari,AT&T Bryon Nelson,4.0,"44' 5""",3195.417,72.0,18 Under
75,T17,K.H. Lee,AT&T Bryon Nelson,4.0,"44' 9""",3221.667,72.0,26 Under
76,,Joseph Bramlett,AT&T Bryon Nelson,4.0,"44' 11""",3233.583,72.0,13 Under
77,,Vince Whaley,AT&T Bryon Nelson,4.0,"45' 10""",3256.833,71.0,18 Under
78,,Brandon Wu,AT&T Bryon Nelson,4.0,"45' 11""",3304.583,72.0,13 Under
79,T25,Matthew NeSmith,AT&T Bryon Nelson,4.0,"46' 10""",3374.0,72.0,13 Under
80,35,Peter Malnati,AT&T Bryon Nelson,4.0,"47' 6""",3417.25,72.0,21 Under
81,12,Adam Schenk,AT&T Bryon Nelson,4.0,"48' 5""",3488.333,72.0,7 Under
82,,Bill Haas,AT&T Bryon Nelson,4.0,"49' 3""",3543.083,72.0,11 Under
83,,Keith Mitchell,AT&T Bryon Nelson,4.0,"49' 7""",3522.75,71.0,9 Under
0,,Chez Reavie,Travelers Championship,4.0,"27' 0""",1919.5,71.0,11 Under
1,,Lucas Glover,Travelers Championship,4.0,"27' 3""",1905.833,70.0,4 Over
2,60,Brian Harman,Travelers Championship,4.0,"27' 3""",1908.0,70.0,14 Under
3,,J.T. Poston,Travelers Championship,4.0,"28' 3""",1975.0,70.0,17 Under
4,,Ryan Armour,Travelers Championship,4.0,"30' 1""",2138.0,71.0,9 Under
5,,Matt Wallace,Travelers Championship,4.0,"30' 3""",2089.333,69.0,9 Under
6,,Brendan Steele,Travelers Championship,4.0,"31' 1""",2236.083,72.0,8 Under
7,,Hank Lebioda,Travelers Championship,4.0,"31' 6""",2207.5,70.0,2 Under
8,,William McGirt,Travelers Championship,4.0,"31' 8""",2250.25,71.0,11 Under
9,,Sam Ryder,Travelers Championship,4.0,"31' 11""",2266.5,71.0,9 Under
10,,John Huh,Travelers Championship,4.0,"32' 0""",2273.917,71.0,10 Under
11,3,Keegan Bradley,Travelers Championship,4.0,"32' 4""",2297.333,71.0,9 Under
12,,Bill Haas,Travelers Championship,4.0,"32' 5""",2303.417,71.0,10 Under
13,,Luke List,Travelers Championship,4.0,"32' 6""",2306.917,71.0,10 Under
14,58,Xander Schauffele,Travelers Championship,4.0,"32' 7""",2348.0,72.0,19 Under
15,,Kevin Streelman,Travelers Championship,4.0,"33' 0""",2276.417,69.0,12 Under
16,,Webb Simpson,Travelers Championship,4.0,"33' 1""",2381.833,72.0,10 Under
17,,Scott Stallings,Travelers Championship,4.0,"33' 4""",2364.917,71.0,12 Under
18,,Taylor Moore,Travelers Championship,4.0,"33' 5""",2370.167,71.0,3 Under
19,,Sahith Theegala,Travelers Championship,4.0,"33' 6""",2345.833,70.0,19 Under
20,,Lee Hodges,Travelers Championship,4.0,"33' 7""",2387.0,71.0,9 Under
21,,Ben Silverman,Travelers Championship,4.0,"33' 8""",2424.583,72.0,4 Under
22,T48,Seamus Power,Travelers Championship,4.0,"33' 9""",2396.417,71.0,10 Under
23,,Tommy Fleetwood,Travelers Championship,4.0,"33' 10""",2402.75,71.0,4 Under
24,,Kelly Kraft,Travelers Championship,4.0,"33' 10""",2399.917,71.0,3 Under
25,,Harold Varner III,Travelers Championship,4.0,"33' 10""",2399.583,71.0,7 Under
26,,Nate Lashley,Travelers Championship,4.0,"33' 11""",2443.583,72.0,8 Under
27,,Adam Long,Travelers Championship,4.0,"34' 2""",2424.167,71.0,10 Under
28,,Andrew Novak,Travelers Championship,4.0,"34' 2""",2461.917,72.0,4 Under
29,7,Scottie Scheffler,Travelers Championship,4.0,"34' 2""",2459.917,72.0,10 Under
30,,Mark Hubbard,Travelers Championship,4.0,"34' 3""",2468.667,72.0,4 Under
31,63,K.H. Lee,Travelers Championship,4.0,"34' 4""",2406.167,70.0,11 Under
32,,Stewart Cink,Travelers Championship,4.0,"34' 5""",2475.167,72.0,3 Under
33,,Luke Donald,Travelers Championship,4.0,"34' 5""",2478.25,72.0,2 Under
34,5,Joel Dahmen,Travelers Championship,4.0,"34' 6""",2416.75,70.0,Even
35,,Chesson Hadley,Travelers Championship,4.0,"34' 7""",2488.333,72.0,14 Under
36,T33,Joseph Bramlett,Travelers Championship,4.0,"34' 11""",2516.0,72.0,2 Under
37,28,Matthew NeSmith,Travelers Championship,4.0,"34' 11""",2513.583,72.0,9 Under
38,23,Davis Riley,Travelers Championship,4.0,"35' 0""",2448.667,70.0,2 Under
39,,Aaron Rai,Travelers Championship,4.0,"35' 1""",2488.083,71.0,7 Under
40,,Austin Cook,Travelers Championship,4.0,"35' 2""",2534.167,72.0,1 Under
41,,Tyler Duncan,Travelers Championship,4.0,"35' 4""",2510.417,71.0,5 Under
42,,Wyndham Clark,Travelers Championship,4.0,"35' 5""",2549.833,72.0,7 Under
43,,Morgan Hoffmann,Travelers Championship,4.0,"35' 5""",2551.25,72.0,2 Over
44,,Matthias Schwab,Travelers Championship,4.0,"35' 6""",2558.75,72.0,3 Under
45,11,Rory McIlroy,Travelers Championship,4.0,"35' 9""",2539.167,71.0,9 Under
46,,Adam Svensson,Travelers Championship,4.0,"36' 0""",2591.333,72.0,8 Under
47,,Peter Malnati,Travelers Championship,4.0,"36' 2""",2601.25,72.0,Even
48,,Michael Thorbjornsen,Travelers Championship,4.0,"36' 6""",2554.333,70.0,17 Under
49,,Michael Gligic,Travelers Championship,4.0,"36' 10""",2654.583,72.0,6 Under
50,,Tony Finau,Travelers Championship,4.0,"37' 2""",2677.25,72.0,10 Under
51,T51,Mackenzie Hughes,Travelers Championship,4.0,"37' 2""",2639.083,71.0,8 Under
52,,Conrad Shindler,Travelers Championship,4.0,"37' 4""",2689.5,72.0,5 Under
53,,Cam Davis,Travelers Championship,4.0,"37' 8""",2671.833,71.0,3 Under
54,50,Nick Hardy,Travelers Championship,4.0,"37' 9""",2720.167,72.0,11 Under
55,,Robert Streb,Travelers Championship,4.0,"37' 9""",2681.083,71.0,8 Under
56,,Harry Higgs,Travelers Championship,4.0,"37' 11""",2579.167,68.0,2 Under
57,,Keith Mitchell,Travelers Championship,4.0,"37' 11""",2693.833,71.0,13 Under
58,,Matthew Wolff,Travelers Championship,4.0,"38' 2""",2750.917,72.0,6 Under
59,,Charles Howell III,Travelers Championship,4.0,"38' 3""",2678.833,70.0,10 Under
60,T19,Hayden Buckley,Travelers Championship,4.0,"38' 6""",2733.25,71.0,6 Under
61,4,Chris Gotterup,Travelers Championship,4.0,"38' 7""",2778.917,72.0,7 Under
62,,Paul Barjon,Travelers Championship,4.0,"38' 8""",2783.917,72.0,3 Under
63,,Martin Laird,Travelers Championship,4.0,"38' 9""",2787.25,72.0,10 Under
64,T51,Patrick Cantlay,Travelers Championship,4.0,"39' 1""",2772.417,71.0,11 Under
65,46,Andrew Putnam,Travelers Championship,4.0,"39' 1""",2814.5,72.0,4 Under
66,,Patton Kizzire,Travelers Championship,4.0,"39' 9""",2783.75,70.0,2 Under
67,,Kevin Kisner,Travelers Championship,4.0,"40' 4""",2902.667,72.0,12 Under
68,24,Harris English,Travelers Championship,4.0,"41' 0""",2912.417,71.0,10 Under
69,,Jonas Blixt,Travelers Championship,4.0,"41' 1""",2916.833,71.0,3 Under
70,,Kevin Tway,Travelers Championship,4.0,"46' 5""",3298.167,71.0,Even
0,,Cameron Young,Wells Fargo Championship,4.0,"29' 6""",2124.917,72.0,6 Under
1,18,Kurt Kitayama,Wells Fargo Championship,4.0,"30' 8""",2206.167,72.0,1 Under
2,36,Lanto Griffin,Wells Fargo Championship,4.0,"31' 5""",2199.083,70.0,8 Under
3,,Russell Henley,Wells Fargo Championship,4.0,"31' 5""",2196.917,70.0,2 Over
4,,Paul Barjon,Wells Fargo Championship,4.0,"32' 2""",2285.167,71.0,6 Over
5,,Matt Kuchar,Wells Fargo Championship,4.0,"32' 2""",2318.25,72.0,7 Over
6,,Joel Dahmen,Wells Fargo Championship,4.0,"32' 3""",2319.75,72.0,8 Over
7,,Rory McIlroy,Wells Fargo Championship,4.0,"32' 3""",2321.167,72.0,4 Under
8,,Rickie Fowler,Wells Fargo Championship,4.0,"32' 9""",2359.833,72.0,Even
9,,Russell Knox,Wells Fargo Championship,4.0,"32' 11""",2372.333,72.0,3 Over
10,,Max Homa,Wells Fargo Championship,4.0,"33' 5""",2406.667,72.0,8 Under
11,,Adam Schenk,Wells Fargo Championship,4.0,"33' 11""",2407.75,71.0,4 Under
12,6,Austin Smotherman,Wells Fargo Championship,4.0,"34' 1""",2419.25,71.0,2 Under
13,T54,Chez Reavie,Wells Fargo Championship,4.0,"34' 2""",2459.417,72.0,1 Under
14,,Si Woo Kim,Wells Fargo Championship,4.0,"34' 3""",2464.083,72.0,4 Over
15,,Luke List,Wells Fargo Championship,4.0,"34' 5""",2443.0,71.0,Even
16,,K.H. Lee,Wells Fargo Championship,4.0,"34' 6""",2484.25,72.0,1 Over
17,,Camilo Villegas,Wells Fargo Championship,4.0,"34' 6""",2483.5,72.0,9 Over
18,25,Callum Tarren,Wells Fargo Championship,4.0,"34' 8""",2461.75,71.0,6 Over
19,,Jhonattan Vegas,Wells Fargo Championship,4.0,"34' 8""",2498.167,72.0,1 Under
20,,Chad Ramey,Wells Fargo Championship,4.0,"34' 11""",2479.333,71.0,Even
21,,Jason Day,Wells Fargo Championship,4.0,"35' 0""",2521.583,72.0,1 Under
22,,Brian Harman,Wells Fargo Championship,4.0,"35' 4""",2541.917,72.0,2 Under
23,T16,Abraham Ancer,Wells Fargo Championship,4.0,"35' 5""",2478.083,70.0,5 Over
24,,Matthew NeSmith,Wells Fargo Championship,4.0,"35' 7""",2564.583,72.0,2 Over
25,,Rory Sabbatini,Wells Fargo Championship,4.0,"35' 7""",2523.5,71.0,3 Over
26,,Matthew Wolff,Wells Fargo Championship,4.0,"35' 8""",2568.667,72.0,1 Over
27,,Michael Thompson,Wells Fargo Championship,4.0,"35' 10""",2543.833,71.0,14 Over
28,,Keegan Bradley,Wells Fargo Championship,4.0,"36' 0""",2555.333,71.0,8 Under
29,,Ryan Armour,Wells Fargo Championship,4.0,"36' 2""",2567.833,71.0,Even
30,64,Hank Lebioda,Wells Fargo Championship,4.0,"36' 3""",2611.75,72.0,5 Over
31,,Nick Taylor,Wells Fargo Championship,4.0,"36' 4""",2617.583,72.0,1 Under
32,,Chase Seiffert,Wells Fargo Championship,4.0,"36' 5""",2624.833,72.0,6 Over
33,,Kevin Chappell,Wells Fargo Championship,4.0,"36' 10""",2616.75,71.0,11 Over
34,43,Peter Malnati,Wells Fargo Championship,4.0,"37' 1""",2635.333,71.0,6 Over
35,,Corey Conners,Wells Fargo Championship,4.0,"37' 4""",2690.167,72.0,Even
36,,Troy Merritt,Wells Fargo Championship,4.0,"37' 5""",2658.0,71.0,2 Over
37,,Tyrrell Hatton,Wells Fargo Championship,4.0,"37' 6""",2662.25,71.0,3 Over
38,37,Justin Lower,Wells Fargo Championship,4.0,"37' 6""",2701.417,72.0,2 Over
39,T16,Michael Gligic,Wells Fargo Championship,4.0,"37' 8""",2635.167,70.0,Even
40,,Henrik Norlander,Wells Fargo Championship,4.0,"37' 9""",2678.0,71.0,7 Over
41,9,C.T. Pan,Wells Fargo Championship,4.0,"37' 10""",2724.833,72.0,1 Under
42,73,Stephan Jaeger,Wells Fargo Championship,4.0,"38' 3""",2751.0,72.0,3 Under
43,7,Ben Kohles,Wells Fargo Championship,4.0,"38' 4""",2760.917,72.0,10 Over
44,,Brendan Steele,Wells Fargo Championship,4.0,"38' 4""",2761.417,72.0,8 Over
45,,Martin Laird,Wells Fargo Championship,4.0,"38' 6""",2733.917,71.0,6 Over
46,,Denny McCarthy,Wells Fargo Championship,4.0,"38' 7""",2780.667,72.0,1 Over
47,,Stewart Cink,Wells Fargo Championship,4.0,"38' 8""",2786.5,72.0,2 Under
48,,Sergio Garcia,Wells Fargo Championship,4.0,"38' 8""",2782.833,72.0,Even
49,,Matt Fitzpatrick,Wells Fargo Championship,4.0,"39' 1""",2776.917,71.0,7 Under
50,,Dylan Frittelli,Wells Fargo Championship,4.0,"39' 1""",2814.417,72.0,6 Over
51,,James Hahn,Wells Fargo Championship,4.0,"39' 1""",2776.0,71.0,4 Under
52,T56,Turk Pettit,Wells Fargo Championship,4.0,"39' 5""",2839.167,72.0,2 Over
53,,Luke Donald,Wells Fargo Championship,4.0,"39' 8""",2858.583,72.0,1 Over
54,61,Kelly Kraft,Wells Fargo Championship,4.0,"39' 10""",2827.833,71.0,5 Over
55,50,Anirban Lahiri,Wells Fargo Championship,4.0,"40' 4""",2865.333,71.0,5 Under
56,,Dylan Wu,Wells Fargo Championship,4.0,"40' 4""",2906.083,72.0,13 Over
57,,J.T. Poston,Wells Fargo Championship,4.0,"40' 7""",2920.083,72.0,2 Under
58,T22,Scott Piercy,Wells Fargo Championship,4.0,"41' 0""",2910.5,71.0,3 Over
59,,Taylor Moore,Wells Fargo Championship,4.0,"41' 2""",2962.083,72.0,15 Over
60,,Ben Martin,Wells Fargo Championship,4.0,"42' 3""",3044.0,72.0,8 Over
61,2,Tony Finau,Wells Fargo Championship,4.0,"42' 4""",3049.417,72.0,5 Over
62,,Mackenzie Hughes,Wells Fargo Championship,4.0,"42' 6""",3060.5,72.0,2 Under
63,,David Lingmerth,Wells Fargo Championship,4.0,"43' 1""",3103.917,72.0,6 Over
64,,Dawie van der Walt,Wells Fargo Championship,4.0,"43' 1""",3104.333,72.0,5 Over
